filename,nrow,ncol,nnz,sparsity,degree,std_node_degree,N,cusparse,SEQREDUCE_ROWBALANCE,SR_RB_speed,PARREDUCE_ROWBALANCE,PR_RB_speed,SEQREDUCE_NNZBALANCE,SR_NB_speed,PARREDUCE_NNZBALANCE,PR_NB_speed,ROWCACHING_ROWBALANCE,RC_RB_speed,ROWCACHING_NNZBALANCE,RC_NB_speed,THE_BEST_ALG_INDEX,THE_BEST_ALG_NAME,THE_BEST_ALG_TIME,THE_BEST_ALG_SPEED
rajat25.mtx,87190,87190,607235,7.98773e-05,6.9645,101.963,128,0.14552,3.11979,0.0466442,1.49947,0.0970479,2.38462,0.0610245,0.982374,0.148131,3.63406,0.0400434,0.168358,0.864347,0,CuSparse,0.14552,1
n2c6-b8.mtx,1470,3990,13230,0.00225564,9,0,128,0.0170752,0.0056032,3.0474,0.019312,0.884176,0.0385152,0.443337,0.017808,0.95885,0.0069664,2.45108,0.0140736,1.21328,1,SEQREDUCE_ROWBALANCE,0.0056032,3.0474
YaleB_10NN.mtx,2414,2414,34808,0.00597317,14.4192,4.90363,128,0.0185056,0.0093952,1.96969,0.0319776,0.578705,0.0811232,0.228117,0.0344768,0.536755,0.0103104,1.79485,0.0143392,1.29056,1,SEQREDUCE_ROWBALANCE,0.0093952,1.96969
rosen7.mtx,264,776,8034,0.0392163,30.4318,79.8587,128,0.0163968,0.0282848,0.579704,0.0150944,1.08628,0.020384,0.804396,0.0115296,1.42215,0.0297216,0.55168,0.0127008,1.29101,4,PARREDUCE_NNZBALANCE,0.0115296,1.42215
IG5-7.mtx,62,150,549,0.0590323,8.85484,5.52661,128,0.0139968,0.004944,2.83107,0.0044864,3.11983,0.0047776,2.92967,0.0055072,2.54155,0.0047168,2.96744,0.0100832,1.38813,2,PARREDUCE_ROWBALANCE,0.0044864,3.11983
lp_nug05.mtx,210,225,1050,0.0222222,5,0,128,0.0160992,0.004048,3.97707,0.0058656,2.74468,0.0067168,2.39686,0.0092224,1.74566,0.004592,3.50592,0.0127136,1.2663,1,SEQREDUCE_ROWBALANCE,0.004048,3.97707
ex2.mtx,441,441,26839,0.138003,60.8594,25.5916,128,0.017056,0.0107808,1.58207,0.015696,1.08665,0.028144,0.606026,0.0228192,0.747441,0.010384,1.64253,0.021792,0.782673,5,ROWCACHING_ROWBALANCE,0.010384,1.64253
rkat7_mat5.mtx,694,738,38114,0.0744164,54.9193,46.5052,128,0.017744,0.0131072,1.35376,0.0217664,0.815201,0.0391296,0.453467,0.029776,0.595916,0.0120608,1.47121,0.0208256,0.852028,5,ROWCACHING_ROWBALANCE,0.0120608,1.47121
watt_2.mtx,1856,1856,11550,0.00335294,6.22306,3.1554,128,0.0200672,0.0096128,2.08755,0.0225696,0.889125,0.041152,0.487636,0.0178752,1.12263,0.0125824,1.59486,0.01784,1.12484,1,SEQREDUCE_ROWBALANCE,0.0096128,2.08755
rajat20.mtx,86916,86916,605045,8.00918e-05,6.96126,101.86,128,0.146144,3.08941,0.0473049,1.497,0.0976243,2.37793,0.0614585,0.985446,0.148302,3.61306,0.0404488,0.169792,0.860724,0,CuSparse,0.146144,1
lung2.mtx,109460,109460,492564,4.11104e-05,4.49995,1.93909,128,0.151178,0.177712,0.850689,1.62606,0.0929717,2.34061,0.0645889,0.844416,0.179032,0.196938,0.767642,0.164074,0.921401,0,CuSparse,0.151178,1
lshp2614.mtx,2614,2614,17980,0.00263135,6.87835,0.482004,128,0.0174848,0.0069312,2.52262,0.0303072,0.576919,0.060064,0.291103,0.0237152,0.737282,0.0086528,2.02071,0.0119744,1.46018,1,SEQREDUCE_ROWBALANCE,0.0069312,2.52262
n4c6-b11.mtx,69235,132402,830820,9.06331e-05,12,0,128,0.194246,0.180384,1.07685,1.14545,0.169581,2.41295,0.0805017,0.961181,0.202091,0.155309,1.25071,0.219546,0.884766,5,ROWCACHING_ROWBALANCE,0.155309,1.25071
parabolic_fem.mtx,525825,525825,3674625,1.32902e-05,6.9883,0.152358,128,1.42337,1.51789,0.937728,8.62675,0.164995,14.7512,0.0964915,5.57489,0.255317,1.16404,1.22279,1.50088,0.948357,5,ROWCACHING_ROWBALANCE,1.16404,1.22279
jan99jac020sc.mtx,6774,6774,38692,0.0008432,5.71184,5.82705,128,0.0213856,0.0128384,1.66575,0.0723616,0.295538,0.14385,0.148666,0.0498976,0.42859,0.0181888,1.17576,0.0184928,1.15643,1,SEQREDUCE_ROWBALANCE,0.0128384,1.66575
oscil_dcop_09.mtx,430,430,1544,0.00835046,3.5907,1.44831,128,0.0169344,0.0045056,3.75852,0.0080224,2.11089,0.009904,1.70985,0.0087904,1.92647,0.0047552,3.56124,0.0144256,1.17391,1,SEQREDUCE_ROWBALANCE,0.0045056,3.75852
coAuthorsCiteseer.mtx,227320,227320,1628268,3.15102e-05,7.16289,10.6312,128,0.399667,0.503494,0.793787,3.59768,0.11109,6.13925,0.0651003,2.30178,0.173634,0.485075,0.823928,0.4484,0.891318,0,CuSparse,0.399667,1
TSOPF_FS_b39_c30.mtx,120216,120216,3121160,0.000215969,25.9629,547.894,128,0.531043,6.69565,0.0793117,2.71,0.195957,9.79158,0.0542347,4.82664,0.110023,7.59072,0.0699595,0.587059,0.904582,0,CuSparse,0.531043,1
Trec10.mtx,106,478,8612,0.169969,81.2453,32.1056,128,0.0162048,0.0104,1.55815,0.0074176,2.18464,0.009392,1.72538,0.0116544,1.39044,0.0109888,1.47467,0.0246048,0.658603,2,PARREDUCE_ROWBALANCE,0.0074176,2.18464
M20PI_n1.mtx,1028,1028,2547,0.00241014,2.47763,0.587223,128,0.0172096,0.0041472,4.14969,0.0135488,1.27019,0.0185568,0.927401,0.0105024,1.63864,0.0056928,3.02305,0.0135808,1.2672,1,SEQREDUCE_ROWBALANCE,0.0041472,4.14969
GD95_b.mtx,73,73,96,0.0180146,1.31507,3.29332,128,0.0164,0.0042816,3.83034,0.0041984,3.90625,0.0045376,3.61425,0.0056896,2.88245,0.004368,3.75458,0.013184,1.24393,2,PARREDUCE_ROWBALANCE,0.0041984,3.90625
shyy161.mtx,76480,76480,329762,5.63774e-05,4.31174,1.25253,128,0.111344,0.137075,0.812284,1.09676,0.10152,1.60753,0.069264,0.55737,0.199767,0.140195,0.794207,0.110118,1.01113,6,ROWCACHING_NNZBALANCE,0.110118,1.01113
cell1.mtx,7055,7055,34855,0.000700279,4.94047,0.285981,128,0.019728,0.010576,1.86536,0.072944,0.270454,0.141283,0.139634,0.047248,0.417542,0.016016,1.23177,0.0148192,1.33125,1,SEQREDUCE_ROWBALANCE,0.010576,1.86536
GL7d16.mtx,955128,460261,14488881,3.29586e-05,15.1696,2.1051,128,4.866,4.53157,1.0738,17.1041,0.284493,43.9327,0.11076,17.8063,0.273274,3.60531,1.34968,4.82359,1.00879,5,ROWCACHING_ROWBALANCE,3.60531,1.34968
email-EuAll.mtx,265214,265214,420045,5.97177e-06,1.5838,9.96756,128,0.220509,0.309507,0.712451,3.49336,0.0631223,4.12221,0.0534928,1.47079,0.149925,0.409818,0.538066,0.22999,0.958774,0,CuSparse,0.220509,1
bfwa782.mtx,782,782,7514,0.0122873,9.6087,3.82518,128,0.0163104,0.0051392,3.17372,0.0121696,1.34026,0.0218944,0.744958,0.0124608,1.30894,0.00528,3.08909,0.0121984,1.33709,1,SEQREDUCE_ROWBALANCE,0.0051392,3.17372
cq9.mtx,9278,21534,96653,0.000483767,10.4174,36.4619,128,0.0263872,0.0362336,0.728252,0.109158,0.241733,0.275808,0.0956723,0.097216,0.271429,0.043408,0.607888,0.0211296,1.24883,6,ROWCACHING_NNZBALANCE,0.0211296,1.24883
collins_15NN.mtx,1000,1000,16492,0.016492,16.492,1.51325,128,0.0153984,0.0061312,2.51148,0.0161248,0.954951,0.0363552,0.423554,0.0181696,0.847481,0.0058688,2.62377,0.0105376,1.46128,5,ROWCACHING_ROWBALANCE,0.0058688,2.62377
dataset20mfeatpixel_10NN.mtx,2000,2000,27932,0.006983,13.966,4.18578,128,0.018176,0.0082912,2.1922,0.0269536,0.674344,0.0655776,0.277168,0.029568,0.614719,0.0085248,2.13213,0.0134336,1.35303,1,SEQREDUCE_ROWBALANCE,0.0082912,2.1922
mt2010.mtx,132288,132288,638668,3.64951e-05,4.82786,3.58767,128,0.189638,0.238157,0.796275,1.99681,0.0949705,2.89901,0.0654149,1.07473,0.176452,0.240755,0.787681,0.204339,0.928057,0,CuSparse,0.189638,1
oscil_dcop_44.mtx,430,430,1544,0.00835046,3.5907,1.44831,128,0.0166528,0.0044384,3.75198,0.0079712,2.08912,0.009856,1.68961,0.0084992,1.95934,0.0045952,3.62396,0.0143104,1.16369,1,SEQREDUCE_ROWBALANCE,0.0044384,3.75198
fpga_dcop_45.mtx,1220,1220,5892,0.00395861,4.82951,4.01275,128,0.0196192,0.0058368,3.36129,0.0162368,1.20832,0.0253088,0.775193,0.0135744,1.44531,0.0074304,2.6404,0.019408,1.01088,1,SEQREDUCE_ROWBALANCE,0.0058368,3.36129
bfwa62.mtx,62,62,450,0.117066,7.25806,3.17721,128,0.0141664,0.0042688,3.31859,0.0042272,3.35125,0.004688,3.02184,0.005392,2.6273,0.0044896,3.15538,0.009728,1.45625,2,PARREDUCE_ROWBALANCE,0.0042272,3.35125
rdb968.mtx,968,968,5632,0.00601052,5.81818,0.406558,128,0.015936,0.004672,3.41096,0.0135808,1.17342,0.0218848,0.728177,0.0109344,1.45742,0.0058208,2.73777,0.012176,1.3088,1,SEQREDUCE_ROWBALANCE,0.004672,3.41096
mesh_deform.mtx,234023,9393,853829,0.000388426,3.64848,0.670534,128,0.211523,0.32008,0.660845,3.35594,0.0630295,4.63795,0.045607,1.5411,0.137255,0.40895,0.517234,0.22544,0.938268,0,CuSparse,0.211523,1
ex1.mtx,216,216,4352,0.0932785,20.1481,8.92595,128,0.0160064,0.0061408,2.60657,0.00712,2.24809,0.0105376,1.51898,0.0094976,1.68531,0.0058656,2.72886,0.0109408,1.463,5,ROWCACHING_ROWBALANCE,0.0058656,2.72886
bodyy4.mtx,17546,17546,121938,0.00039608,6.94962,0.525987,128,0.0299968,0.0246336,1.21772,0.179942,0.166702,0.415539,0.0721877,0.140912,0.212876,0.03416,0.878127,0.0254336,1.17942,1,SEQREDUCE_ROWBALANCE,0.0246336,1.21772
rajat24.mtx,358172,358172,1948235,1.51865e-05,5.43938,180.106,128,0.496544,13.3029,0.0373259,6.12767,0.0810331,8.99954,0.0551744,3.67488,0.135118,14.5439,0.0341411,0.569642,0.871678,0,CuSparse,0.496544,1
freeFlyingRobot_10.mtx,5218,5218,40080,0.00147204,7.6811,14.8177,128,0.0213152,0.0597792,0.356565,0.066528,0.320394,0.12823,0.166226,0.0456256,0.467176,0.0752992,0.283073,0.017344,1.22897,6,ROWCACHING_NNZBALANCE,0.017344,1.22897
